4:182 -> K: 22 | acc: 70.39999999999999
4:183 -> K: 22 | acc: 71.2
4:184 -> K: 21 | acc: 71.2
4:185 -> K: 21 | acc: 70.39999999999999
4:186 -> K: 21 | acc: 69.6
4:187 -> K: 21 | acc: 69.6
4:188 -> K: 24 | acc: 69.6
4:189 -> K: 22 | acc: 70.39999999999999
4:190 -> K: 21 | acc: 69.6
4:191 -> K: 22 | acc: 68.8
4:192 -> K: 20 | acc: 68.8
4:193 -> K: 20 | acc: 67.2
4:194 -> K: 20 | acc: 67.2
4:195 -> K: 20 | acc: 68.0
4:196 -> K: 21 | acc: 67.2
4:197 -> K: 20 | acc: 67.2
4:198 -> K: 20 | acc: 67.2
4:199 -> K: 20 | acc: 66.4
4:200 -> K: 20 | acc: 66.4
4:201 -> K: 24 | acc: 67.2
4:202 -> K: 24 | acc: 68.0
4:203 -> K: 24 | acc: 67.2
4:204 -> K: 20 | acc: 68.0
4:205 -> K: 20 | acc: 68.0
